base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Manufacturing,Air Transport,General Government,Q2,3773279.987,2717235.3,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Electricity, Gas, Water Supply & Other Utility Services",Air Transport,General Government,Q2,651837.9947,374124.8099,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Construction,Air Transport,General Government,Q2,2397798.253,1445602.812,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,4688446.725,2957057.982,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Financial, Real Estate & Professional Services",Air Transport,General Government,Q2,6052948.45,3684958.639,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,"Public Administration, Defence & Other Services",Air Transport,General Government,Q2,3893944.063,2020578.851,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Second Advance Estimates,Total Gross Value Added,Air Transport,General Government,Q2,26677678.69,15827708.32,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Agriculture, Livestock, Forestry and Fishing",Air Transport,General Government,Q2,4725222.94,2304981.675,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Mining and Quarrying,Air Transport,General Government,Q2,525881.0881,337623.3961,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Manufacturing,Air Transport,General Government,Q2,3819748.547,2751680.319,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Electricity, Gas, Water Supply & Other Utility Services",Air Transport,General Government,Q2,663458.0944,374174.3847,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Construction,Air Transport,General Government,Q2,2383876.737,1436080.905,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Trade, Hotels, Transport, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,4684542.051,2955766.611,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Financial, Real Estate & Professional Services",Air Transport,General Government,Q2,6064250.776,3691644.946,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,"Public Administration, Defence & Other Services",Air Transport,General Government,Q2,3895166.944,2021798.46,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,Provisional Estimates,Total Gross Value Added,Air Transport,General Government,Q2,26762147.18,15873750.7,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Public Non-Financial Corporations,Q2,1514828.42,1253671.7912885246,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Private Non-Financial Corporations,Q2,9886869.053,1253671.7912885246,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Public Financial Corporations,Q2,710855.9163,1253671.7912885246,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Private Financial Corporations,Q2,887329.246,1253671.7912885246,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,General Government,Q2,2564516.081,1253671.7912885246,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Households Including NPISH,Q2,11848489.33,1253671.7912885246,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,Total Gross Value Added,Q2,27412888.05,1253671.7912885246,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,General Government,Q2,2652890.753,1273457.528,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,General Government,Q2,1505615.236,727481.399,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,General Government,Q2,351236.9568,190498.0696,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,General Government,Q2,368124.3426,175849.5183,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Air Transport,General Government,Q2,4877867.288,2367286.515,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Mining and Quarrying,Air Transport,General Government,Q2,532342.7886,330007.402,₹ Crore
2011-12,Current,2023-24,Gross Value Added,Annual,First Revised Estimates,Manufacturing,"Food Products, Beverages and Tobacco",General Government,Q2,380224.5209,243667.0822,₹ Crore
