base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,1915461.065,1854261.022,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,339577.0128,321172.6032,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Trade, Repair, Hotels and Restaurants",,,,2255038.077,2175433.625,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,155008.9612,152525.6888,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,677949.3968,635051.7016,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,20686.7141,20493.25908,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,36773.78233,24613.60132,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,148269.7501,140043.3207,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,30798.66575,25869.00582,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,390045.3558,420250.9786,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Transport, Storage, Communication & Services Related to Broadcasting",,,,1459532.626,1418847.556,₹ Crore
